date,open,high,low,close,Regime_WF
2020-04-29 00:00:00+00:00,7738.58,8952.89,7710.05,8778.57,8
2020-04-30 00:00:00+00:00,8778.58,9460.0,8401.0,8620.0,5
2020-05-01 00:00:00+00:00,8620.0,9059.18,8613.56,8826.96,5
2020-05-02 00:00:00+00:00,8825.67,9010.0,8753.0,8972.05,5
2020-05-03 00:00:00+00:00,8972.58,9200.0,8712.0,8894.16,5
2020-05-04 00:00:00+00:00,8894.15,8950.0,8522.0,8871.96,5
2020-05-05 00:00:00+00:00,8871.92,9118.58,8760.0,9021.83,5
2020-05-06 00:00:00+00:00,9021.36,9395.0,8906.21,9142.92,5
2020-05-07 00:00:00+00:00,9143.4,10067.0,9021.0,9986.4,5
2020-05-08 00:00:00+00:00,9986.3,10035.96,9705.0,9800.01,5
2020-05-09 00:00:00+00:00,9800.02,9914.25,9520.0,9539.4,5
2020-05-10 00:00:00+00:00,9539.1,9574.83,8117.0,8722.77,5
2020-05-11 00:00:00+00:00,8722.77,9168.0,8200.0,8561.52,8
2020-05-12 00:00:00+00:00,8562.04,8978.26,8528.78,8810.79,8
2020-05-13 00:00:00+00:00,8810.99,9398.0,8792.99,9309.37,8
2020-05-14 00:00:00+00:00,9309.35,9939.0,9256.76,9791.98,8
2020-05-15 00:00:00+00:00,9791.97,9845.62,9150.0,9316.42,8
2020-05-16 00:00:00+00:00,9315.96,9588.0,9220.0,9381.27,8
2020-05-17 00:00:00+00:00,9380.81,9888.0,9322.1,9680.04,8
2020-05-18 00:00:00+00:00,9681.11,9950.0,9464.23,9733.93,8
2020-05-19 00:00:00+00:00,9733.93,9897.21,9474.0,9775.53,8
2020-05-20 00:00:00+00:00,9775.13,9842.0,9326.0,9511.43,8
2020-05-21 00:00:00+00:00,9511.43,9578.47,8815.0,9068.65,0
2020-05-22 00:00:00+00:00,9067.51,9271.0,8933.52,9170.0,0
2020-05-23 00:00:00+00:00,9170.0,9307.85,9070.0,9179.15,0
2020-05-24 00:00:00+00:00,9179.01,9298.0,8700.0,8720.34,0
2020-05-25 00:00:00+00:00,8718.14,8979.66,8642.72,8900.35,0
2020-05-26 00:00:00+00:00,8900.35,9017.67,8700.0,8841.18,0
2020-05-27 00:00:00+00:00,8841.0,9225.0,8811.73,9204.07,0
2020-05-28 00:00:00+00:00,9204.07,9625.47,9110.0,9575.89,0
2020-05-29 00:00:00+00:00,9575.87,9605.26,9330.0,9427.07,0
2020-05-30 00:00:00+00:00,9426.6,9740.0,9331.23,9697.72,0
2020-05-31 00:00:00+00:00,9697.72,9700.0,9381.41,9448.27,0
2020-06-01 00:00:00+00:00,9448.27,10380.0,9421.67,10200.77,0
2020-06-02 00:00:00+00:00,10202.71,10228.99,9266.0,9518.04,0
2020-06-03 00:00:00+00:00,9518.02,9690.0,9365.21,9666.24,0
2020-06-04 00:00:00+00:00,9666.32,9881.63,9450.0,9789.06,0
2020-06-05 00:00:00+00:00,9788.14,9854.75,9581.0,9621.16,0
2020-06-06 00:00:00+00:00,9621.17,9735.0,9531.05,9666.3,0
2020-06-07 00:00:00+00:00,9666.85,9802.0,9372.46,9746.99,0
2020-06-08 00:00:00+00:00,9746.99,9800.0,9633.0,9782.01,8
2020-06-09 00:00:00+00:00,9782.0,9877.0,9570.0,9772.43,8
2020-06-10 00:00:00+00:00,9772.44,9992.72,9704.18,9885.0,8
2020-06-11 00:00:00+00:00,9885.22,9964.0,9113.0,9280.4,8
2020-06-12 00:00:00+00:00,9278.88,9557.12,9232.51,9465.13,4
2020-06-13 00:00:00+00:00,9464.96,9494.73,9351.0,9473.34,4
2020-06-14 00:00:00+00:00,9473.34,9480.99,9245.0,9342.1,0
2020-06-15 00:00:00+00:00,9342.1,9495.0,8910.45,9426.02,0
2020-06-16 00:00:00+00:00,9426.05,9589.0,9373.09,9525.59,0
2020-06-17 00:00:00+00:00,9526.97,9565.0,9236.61,9465.14,0
2020-06-18 00:00:00+00:00,9465.13,9489.0,9280.0,9386.32,7
2020-06-19 00:00:00+00:00,9386.32,9438.3,9215.79,9310.23,7
2020-06-20 00:00:00+00:00,9310.23,9395.0,9170.95,9358.95,7
2020-06-21 00:00:00+00:00,9358.95,9422.0,9281.54,9294.69,7
2020-06-22 00:00:00+00:00,9294.69,9780.0,9277.09,9685.69,7
2020-06-23 00:00:00+00:00,9685.69,9720.0,9577.03,9624.89,7
2020-06-24 00:00:00+00:00,9624.33,9670.0,9208.0,9296.49,7
2020-06-25 00:00:00+00:00,9298.33,9340.0,9009.69,9249.49,7
2020-06-26 00:00:00+00:00,9249.49,9298.0,9045.45,9162.21,7
2020-06-27 00:00:00+00:00,9162.21,9196.24,8833.0,9012.0,7
2020-06-28 00:00:00+00:00,9012.0,9191.0,8948.06,9116.35,7
2020-06-29 00:00:00+00:00,9116.16,9238.0,9024.67,9192.56,7
2020-06-30 00:00:00+00:00,9192.93,9205.0,9064.89,9138.55,7
2020-07-01 00:00:00+00:00,9138.08,9292.0,9080.1,9232.0,7
2020-07-02 00:00:00+00:00,9231.99,9261.96,8940.0,9086.54,7
2020-07-03 00:00:00+00:00,9086.54,9125.0,9037.47,9058.26,7
2020-07-04 00:00:00+00:00,9057.79,9190.0,9040.04,9135.46,7
2020-07-05 00:00:00+00:00,9135.0,9145.24,8893.03,9069.41,7
2020-07-06 00:00:00+00:00,9069.41,9375.0,9055.92,9344.2,7
2020-07-07 00:00:00+00:00,9342.47,9379.42,9203.0,9257.39,7
2020-07-08 00:00:00+00:00,9257.4,9470.0,9231.0,9436.06,7
2020-07-09 00:00:00+00:00,9436.06,9440.79,9160.0,9232.43,7
2020-07-10 00:00:00+00:00,9232.42,9317.48,9125.0,9288.34,7
2020-07-11 00:00:00+00:00,9288.34,9299.28,9178.25,9234.03,7
2020-07-12 00:00:00+00:00,9234.02,9345.0,9157.5,9302.75,7
2020-07-13 00:00:00+00:00,9303.31,9343.82,9200.89,9242.62,7
2020-07-14 00:00:00+00:00,9242.61,9279.54,9113.0,9255.85,7
2020-07-15 00:00:00+00:00,9255.85,9276.49,9160.57,9197.6,7
2020-07-16 00:00:00+00:00,9197.6,9226.15,9047.25,9133.72,7
2020-07-17 00:00:00+00:00,9133.72,9186.83,9089.81,9154.32,7
2020-07-18 00:00:00+00:00,9154.31,9219.3,9121.1,9170.28,7
2020-07-19 00:00:00+00:00,9170.3,9232.27,9101.35,9208.99,7
2020-07-20 00:00:00+00:00,9208.99,9221.52,9131.0,9160.78,7
2020-07-21 00:00:00+00:00,9160.78,9437.73,9152.8,9390.0,7
2020-07-22 00:00:00+00:00,9390.0,9544.0,9261.0,9518.16,7
2020-07-23 00:00:00+00:00,9518.16,9664.0,9440.33,9603.27,7
2020-07-24 00:00:00+00:00,9603.27,9637.0,9463.44,9537.8,7
2020-07-25 00:00:00+00:00,9538.1,9732.9,9513.0,9700.42,7
2020-07-26 00:00:00+00:00,9700.42,10111.0,9650.0,9931.54,8
